kind,id,route_or_state,viewport,asset,bytes,scroll_width,axe,pass
responsive,baseline-wide,/,1728x1080,baseline/baseline-wide-1728x1080.png,562810,1728,not_run,yes
responsive,baseline-desktop,/,1440x900,baseline/baseline-desktop-1440x900.png,441702,1440,not_run,yes
responsive,baseline-tablet,/,1024x900,baseline/baseline-tablet-1024x900.png,353671,1024,not_run,yes
responsive,baseline-mobile,/,390x844,baseline/baseline-mobile-390x844.png,171904,390,not_run,yes
responsive,final-wide,/,1728x1080,final/final-wide-1728x1080.png,571209,1728,pass,yes
responsive,final-desktop,/,1440x900,final/final-desktop-1440x900.png,451223,1440,pass,yes
responsive,final-tablet,/,1024x900,final/final-tablet-1024x900.png,361060,1024,pass,yes
responsive,final-mobile,/,390x844,final/final-mobile-390x844.png,172381,390,pass,yes
responsive,final-reduced-motion,/,1728x1080,final/final-reduced-motion-1728x1080.png,571209,1728,pass,yes
route,00-auth,/login,1728x1080,final/routes/00-auth.png,390016,1728,pass,yes
route,01-workspace-switcher,/workspaces,1728x1080,final/routes/01-workspace-switcher.png,125022,1728,pass,yes
route,02-command-center,/,1728x1080,final/routes/02-command-center.png,571209,1728,pass,yes
route,03-imports-hub,/imports,1728x1080,final/routes/03-imports-hub.png,443104,1728,pass,yes
route,04-import-batch-detail,/imports/batches/demo,1728x1080,final/routes/04-import-batch-detail.png,458863,1728,pass,yes
route,05-source-artifact-detail,/imports/artifacts/demo,1728x1080,final/routes/05-source-artifact-detail.png,459655,1728,pass,yes
route,06-source-mapping,/imports/artifacts/demo/mapping,1728x1080,final/routes/06-source-mapping.png,352360,1728,pass,yes
route,07-source-profiles,/imports/sources,1728x1080,final/routes/07-source-profiles.png,324954,1728,pass,yes
route,08-acquisition-config,/imports/artifacts/demo/acquisition,1728x1080,final/routes/08-acquisition-config.png,328436,1728,pass,yes
route,09-trial-library,/trials,1728x1080,final/routes/09-trial-library.png,323549,1728,pass,yes
