contract_id,family,asset,semantic_role,implementation,source_file,state_or_variant_proof,contract_evidence,browser_evidence,coverage_status,severity
buttons--primary--default--sm,buttons,primary--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--default--md,buttons,primary--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--default--lg,buttons,primary--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--hover--sm,buttons,primary--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--hover--md,buttons,primary--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--hover--lg,buttons,primary--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--pressed--sm,buttons,primary--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--pressed--md,buttons,primary--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--pressed--lg,buttons,primary--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--focus--sm,buttons,primary--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
