id,title,route,kind,implementation_file,implementation_exists,http_status,screen_found,observed_kind,primary_action_count,agent_required,evidence_required,data_scientific_authority,data_fixture_only,horizontal_overflow,axe_serious_critical,screenshot,visual_result,severity
00-auth,Secure Workspace Access,/login,utility,apps/practitioner-web/app/login/page.tsx,YES,200,YES,utility-login-shell,1,NO,NO,utility-shell,utility-shell,NO,0,screens/00-auth.png,PASS,NONE
01-workspace-switcher,Workspace Switcher,/workspaces,utility,apps/practitioner-web/app/workspaces/page.tsx,YES,200,YES,workspace,2,NO,NO,none,true,NO,0,screens/01-workspace-switcher.png,PASS,NONE
02-command-center,Command Center,/,dashboard,apps/practitioner-web/app/page.tsx,YES,200,YES,dashboard,8,YES,YES,none,true,NO,0,screens/02-command-center.png,PASS,NONE
03-imports-hub,Force Plates & Imports,/imports,library,apps/practitioner-web/app/imports/page.tsx,YES,200,YES,library,10,YES,YES,none,true,NO,0,screens/03-imports-hub.png,PASS,NONE
04-import-batch-detail,Import Batch Detail,/imports/batches/:batchId,detail,apps/practitioner-web/app/imports/batches/[batchId]/page.tsx,YES,200,YES,detail,2,YES,YES,none,true,NO,0,screens/04-import-batch-detail.png,PASS,NONE
05-source-artifact-detail,Source Artifact Detail,/imports/artifacts/:artifactId,detail,apps/practitioner-web/app/imports/artifacts/[artifactId]/page.tsx,YES,200,YES,detail,2,YES,YES,none,true,NO,0,screens/05-source-artifact-detail.png,PASS,NONE
06-source-mapping,Source Mapping,/imports/artifacts/:artifactId/mapping,config,apps/practitioner-web/app/imports/artifacts/[artifactId]/mapping/page.tsx,YES,200,YES,config,2,YES,YES,none,true,NO,0,screens/06-source-mapping.png,PASS,NONE
07-source-profiles,Source & Device Profiles,/imports/sources,library,apps/practitioner-web/app/imports/sources/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/07-source-profiles.png,PASS,NONE
08-acquisition-config,Acquisition Configuration,/imports/artifacts/:artifactId/acquisition,config,apps/practitioner-web/app/imports/artifacts/[artifactId]/acquisition/page.tsx,YES,200,YES,config,2,YES,YES,none,true,NO,0,screens/08-acquisition-config.png,PASS,NONE
09-trial-library,Trial Library,/trials,library,apps/practitioner-web/app/trials/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/09-trial-library.png,PASS,NONE
10-trial-detail,Trial Detail,/trials/:trialId,detail,apps/practitioner-web/app/trials/[trialId]/page.tsx,YES,200,YES,detail,2,YES,YES,none,true,NO,0,screens/10-trial-detail.png,PASS,NONE
11-trial-qa,Trial QA Workspace,/trials/:trialId/qa,qa,apps/practitioner-web/app/trials/[trialId]/qa/page.tsx,YES,200,YES,review,2,YES,YES,none,true,NO,0,screens/11-trial-qa.png,PASS,NONE
12-event-review,Event Review,/trials/:trialId/events,qa,apps/practitioner-web/app/trials/[trialId]/events/page.tsx,YES,200,YES,review,2,YES,YES,none,true,NO,0,screens/12-event-review.png,PASS,NONE
13-override-history,Override History,/trials/:trialId/overrides,log,apps/practitioner-web/app/trials/[trialId]/overrides/page.tsx,YES,200,YES,log,4,YES,YES,none,true,NO,0,screens/13-override-history.png,PASS,NONE
14-session-queue,Session Queue,/sessions,library,apps/practitioner-web/app/sessions/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/14-session-queue.png,PASS,NONE
15-session-detail,Session Detail,/sessions/:sessionId,detail,apps/practitioner-web/app/sessions/[sessionId]/page.tsx,YES,200,YES,detail,2,YES,YES,none,true,NO,0,screens/15-session-detail.png,PASS,NONE
16-session-adjudication,Session Adjudication,/sessions/:sessionId/adjudicate,adjudication,apps/practitioner-web/app/sessions/[sessionId]/adjudicate/page.tsx,YES,200,YES,review,2,YES,YES,none,true,NO,0,screens/16-session-adjudication.png,PASS,NONE
17-session-decision-log,Session Decision Log,/sessions/:sessionId/decisions,log,apps/practitioner-web/app/sessions/[sessionId]/decisions/page.tsx,YES,200,YES,log,4,YES,YES,none,true,NO,0,screens/17-session-decision-log.png,PASS,NONE
18-athlete-directory,Athlete Directory,/athletes,library,apps/practitioner-web/app/athletes/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/18-athlete-directory.png,PASS,NONE
19-athlete-profile,Athlete Profile,/athletes/:athleteId,detail,apps/practitioner-web/app/athletes/[athleteId]/page.tsx,YES,200,YES,detail,2,YES,YES,none,true,NO,0,screens/19-athlete-profile.png,PASS,NONE
20-athlete-longitudinal,Athlete Longitudinal,/athletes/:athleteId/longitudinal,longitudinal,apps/practitioner-web/app/athletes/[athleteId]/longitudinal/page.tsx,YES,200,YES,longitudinal,2,YES,YES,none,true,NO,0,screens/20-athlete-longitudinal.png,PASS,NONE
21-evidence-library,Evidence Library,/evidence,library,apps/practitioner-web/app/evidence/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/21-evidence-library.png,PASS,NONE
22-evidence-record,Evidence Record,/evidence/:evidenceId,evidence,apps/practitioner-web/app/evidence/[evidenceId]/page.tsx,YES,200,YES,evidence,2,YES,YES,none,true,NO,0,screens/22-evidence-record.png,PASS,NONE
23-provenance-graph,Provenance Graph,/evidence/:evidenceId/provenance,graph,apps/practitioner-web/app/evidence/[evidenceId]/provenance/page.tsx,YES,200,YES,graph,1,YES,YES,none,true,NO,0,screens/23-provenance-graph.png,PASS,NONE
24-references-hub,References Hub,/references,library,apps/practitioner-web/app/references/page.tsx,YES,200,YES,library,7,YES,YES,none,true,NO,0,screens/24-references-hub.png,PASS,NONE
25-metrics-dictionary,Metrics Dictionary,/references/metrics,library,apps/practitioner-web/app/references/metrics/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/25-metrics-dictionary.png,PASS,NONE
26-protocol-library,Protocol Library,/references/protocols,library,apps/practitioner-web/app/references/protocols/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/26-protocol-library.png,PASS,NONE
27-method-detail,Method Detail,/references/methods/:methodId,evidence,apps/practitioner-web/app/references/methods/[methodId]/page.tsx,YES,200,YES,evidence,2,YES,YES,none,true,NO,0,screens/27-method-detail.png,PASS,NONE
28-report-library,Report Library,/reports,library,apps/practitioner-web/app/reports/page.tsx,YES,200,YES,library,6,YES,YES,none,true,NO,0,screens/28-report-library.png,PASS,NONE
